"Year","Mean","Min","Max","Type"
2006,3.17175,3.009,3.563,"RCP85"
2007,4.28225,3.023,5.239,"RCP85"
2008,4,3.486,4.428,"RCP85"
2009,4.38675,3.211,5.535,"RCP85"
2010,3.5315,2.954,3.952,"RCP85"
2011,3.946,3.206,4.581,"RCP85"
2012,3.44575,2.636,4.851,"RCP85"
2013,4.3715,3.419,5.161,"RCP85"
2014,3.25525,2.642,3.819,"RCP85"
2015,4.13125,3.121,4.692,"RCP85"
2016,3.5235,3.084,4.143,"RCP85"
2017,3.818,3.413,4.134,"RCP85"
2018,3.65775,2.803,4.479,"RCP85"
2019,3.63075,3.331,3.92,"RCP85"
2020,4.22825,3.149,4.999,"RCP85"
2021,3.1865,1.512,4.015,"RCP85"
2022,4.0275,2.361,5.274,"RCP85"
2023,3.927,2.543,4.943,"RCP85"
2024,4.13275,3.164,4.695,"RCP85"
2025,3.9285,3.172,4.751,"RCP85"
2026,3.7945,2.236,4.412,"RCP85"
2027,4.133,3.776,4.5,"RCP85"
2028,3.5475,3.014,4.52,"RCP85"
2029,3.82825,2.368,4.846,"RCP85"
2030,3.7425,3.413,4.206,"RCP85"
2031,3.71375,2.243,4.483,"RCP85"
2032,3.34125,2.09,4.298,"RCP85"
2033,4.37275,3.684,5.398,"RCP85"
2034,3.797,3.305,4.836,"RCP85"
2035,4.00125,2.918,4.858,"RCP85"
2036,4.0265,2.511,5.235,"RCP85"
2037,3.30525,2.585,3.866,"RCP85"
2038,2.9095,2.123,3.408,"RCP85"
2039,3.60075,2.539,4.725,"RCP85"
2040,3.46975,2.364,3.947,"RCP85"
2041,2.5,1.932,3.121,"RCP85"
2042,3.50975,1.345,4.371,"RCP85"
2043,3.0275,1.255,4.469,"RCP85"
2044,3.18675,2.104,4.275,"RCP85"
2045,3.47775,1.775,5.109,"RCP85"
2046,3.5595,2.6,4.587,"RCP85"
2047,2.84075,1.781,5.052,"RCP85"
2048,4.07025,2.819,5.153,"RCP85"
2049,3.24725,2.138,5.041,"RCP85"
2050,2.69025,1.695,3.317,"RCP85"
2051,2.9845,1.772,4.302,"RCP85"
2052,2.459,0.644,4.371,"RCP85"
2053,2.82075,2.178,3.468,"RCP85"
2054,3.37575,1.823,5.667,"RCP85"
2055,2.6655,1.874,3.518,"RCP85"
2056,2.96875,1.736,3.838,"RCP85"
2057,1.7925,0,2.859,"RCP85"
2058,2.00375,1.37,2.501,"RCP85"
2059,1.85875,0.627,3.212,"RCP85"
2060,1.888,0.321,4.374,"RCP85"
2061,1.6485,0.857,3.14,"RCP85"
2062,1.84475,0.054,4.821,"RCP85"
2063,2.164,0.834,4.217,"RCP85"
2064,1.49175,0,3.441,"RCP85"
2065,2.18075,0.795,4.273,"RCP85"
2066,2.6645,1.11,5.328,"RCP85"
2067,1.99375,1.015,4.134,"RCP85"
2068,1.32175,0.009,3.849,"RCP85"
2069,2.23425,0.368,4.376,"RCP85"
2070,2.15775,0.878,4.483,"RCP85"
2071,1.769,0,4.738,"RCP85"
2072,1.35825,0.085,3.608,"RCP85"
2073,2.18425,1.295,4.193,"RCP85"
2074,1.54225,0,5.875,"RCP85"
2075,1.54075,0,5.278,"RCP85"
2076,1.3485,0,3.988,"RCP85"
2077,1.52275,0,5.085,"RCP85"
2078,1.0005,0,3.962,"RCP85"
2079,1.0175,0,4.07,"RCP85"
2080,1.2135,0,4.306,"RCP85"
2081,0.63725,0,2.549,"RCP85"
2082,0.93825,0,3.337,"RCP85"
2083,1.14875,0,4.595,"RCP85"
2084,0.58175,0,1.537,"RCP85"
2085,0.94575,0,3.663,"RCP85"
2086,1.01475,0,4.059,"RCP85"
2087,1.1885,0,4.754,"RCP85"
2088,0.95475,0,3.647,"RCP85"
2089,0.65925,0,2.637,"RCP85"
2090,0.74425,0,2.977,"RCP85"
2091,0.49975,0,1.999,"RCP85"
2092,0.63375,0,2.535,"RCP85"
2093,0.6855,0,2.742,"RCP85"
2094,1.16325,0,4.653,"RCP85"
2095,0.716,0,2.864,"RCP85"
2096,1.10425,0,4.417,"RCP85"
2097,1.02675,0,4.107,"RCP85"
2098,1.105,0,4.42,"RCP85"
2099,0.79925,0,3.197,"RCP85"
