"Year","Mean","Min","Max","Type"
2016,3.5235,3.084,4.143,"Current withdrawal"
2017,3.818,3.413,4.134,"Current withdrawal"
2018,3.65775,2.803,4.479,"Current withdrawal"
2019,3.63075,3.331,3.92,"Current withdrawal"
2020,4.22825,3.149,4.999,"Current withdrawal"
2021,3.1865,1.512,4.015,"Current withdrawal"
2022,4.0275,2.361,5.274,"Current withdrawal"
2023,3.927,2.543,4.943,"Current withdrawal"
2024,4.13275,3.164,4.695,"Current withdrawal"
2025,3.9285,3.172,4.751,"Current withdrawal"
2026,3.7945,2.236,4.412,"Current withdrawal"
2027,4.133,3.776,4.5,"Current withdrawal"
2028,3.5475,3.014,4.52,"Current withdrawal"
2029,3.82825,2.368,4.846,"Current withdrawal"
2030,3.7425,3.413,4.206,"Current withdrawal"
2031,3.71375,2.243,4.483,"Current withdrawal"
2032,3.34125,2.09,4.298,"Current withdrawal"
2033,4.37275,3.684,5.398,"Current withdrawal"
2034,3.797,3.305,4.836,"Current withdrawal"
2035,4.00125,2.918,4.858,"Current withdrawal"
2036,4.0265,2.511,5.235,"Current withdrawal"
2037,3.30525,2.585,3.866,"Current withdrawal"
2038,2.9095,2.123,3.408,"Current withdrawal"
2039,3.60075,2.539,4.725,"Current withdrawal"
2040,3.46975,2.364,3.947,"Current withdrawal"
2041,2.5,1.932,3.121,"Current withdrawal"
2042,3.50975,1.345,4.371,"Current withdrawal"
2043,3.0275,1.255,4.469,"Current withdrawal"
2044,3.18675,2.104,4.275,"Current withdrawal"
2045,3.47775,1.775,5.109,"Current withdrawal"
2046,3.5595,2.6,4.587,"Current withdrawal"
2047,2.84075,1.781,5.052,"Current withdrawal"
2048,4.07025,2.819,5.153,"Current withdrawal"
2049,3.24725,2.138,5.041,"Current withdrawal"
2050,2.69025,1.695,3.317,"Current withdrawal"
2051,2.9845,1.772,4.302,"Current withdrawal"
2052,2.459,0.644,4.371,"Current withdrawal"
2053,2.82075,2.178,3.468,"Current withdrawal"
2054,3.37575,1.823,5.667,"Current withdrawal"
2055,2.6655,1.874,3.518,"Current withdrawal"
2056,2.96875,1.736,3.838,"Current withdrawal"
2057,1.7925,0,2.859,"Current withdrawal"
2058,2.00375,1.37,2.501,"Current withdrawal"
2059,1.85875,0.627,3.212,"Current withdrawal"
2060,1.888,0.321,4.374,"Current withdrawal"
2061,1.6485,0.857,3.14,"Current withdrawal"
2062,1.84475,0.054,4.821,"Current withdrawal"
2063,2.164,0.834,4.217,"Current withdrawal"
2064,1.49175,0,3.441,"Current withdrawal"
2065,2.18075,0.795,4.273,"Current withdrawal"
2066,2.6645,1.11,5.328,"Current withdrawal"
2067,1.99375,1.015,4.134,"Current withdrawal"
2068,1.32175,0.009,3.849,"Current withdrawal"
2069,2.23425,0.368,4.376,"Current withdrawal"
2070,2.15775,0.878,4.483,"Current withdrawal"
2071,1.769,0,4.738,"Current withdrawal"
2072,1.35825,0.085,3.608,"Current withdrawal"
2073,2.18425,1.295,4.193,"Current withdrawal"
