"Year","Mean","Min","Max","Type"
2006,11.0679315068493,10.3442739726027,11.6307397260274,"Current withdrawal"
2007,10.8086583763755,10.1306301369863,11.4387704918033,"Current withdrawal"
2008,10.9223900031268,10.5110354223433,11.5096994535519,"Current withdrawal"
2009,11.4126780821918,10.226,12.9349589041096,"Current withdrawal"
2010,11.8443698630137,11.6801095890411,12.1206301369863,"Current withdrawal"
2011,11.5594383561644,10.8416438356164,12.4218630136986,"Current withdrawal"
2012,11.4753047713703,10.8738147138965,12.0065300546448,"Current withdrawal"
2013,10.9753767123288,9.87630136986301,11.4543561643836,"Current withdrawal"
2014,11.7824726027397,11.1072602739726,12.7660273972603,"Current withdrawal"
2015,11.648,11.5170136986301,11.8844657534247,"Current withdrawal"
2016,11.830460590968,11.2790983606557,12.8293989071038,"Current withdrawal"
2017,11.4153704618609,10.7929589041096,11.6791256830601,"Current withdrawal"
2018,11.8560302230706,10.7201095890411,12.7058743169399,"Current withdrawal"
2019,11.6149774683734,10.6328961748634,12.5043561643836,"Current withdrawal"
2020,11.7778483606557,10.6587704918033,13.0856010928962,"Current withdrawal"
2021,12.7051849315068,11.7456438356164,13.6284109589041,"Current withdrawal"
2022,12.1114094472024,11.6382465753425,12.4346849315068,"Current withdrawal"
2023,12.3278224043716,11.6544109589041,12.8047123287671,"Current withdrawal"
2024,12.2024043715847,10.8457923497268,13.5872131147541,"Current withdrawal"
2025,12.3312602739726,11.6944383561644,12.9345479452055,"Current withdrawal"
2026,12.2575068493151,11.1057808219178,13.0940273972603,"Current withdrawal"
2027,11.8294315068493,11.2984931506849,12.3227123287671,"Current withdrawal"
2028,12.5072926996322,10.8423224043716,13.228446866485,"Current withdrawal"
2029,12.4621575342466,11.892602739726,12.9508767123288,"Current withdrawal"
2030,12.4687260273973,11.8144657534247,13.1816712328767,"Current withdrawal"
2031,12.364047570926,11.3294520547945,13.0941803278689,"Current withdrawal"
2032,12.4871607219964,11.1317486338798,13.2641530054645,"Current withdrawal"
2033,12.1535890410959,11.4640821917808,12.5535342465753,"Current withdrawal"
2034,12.444397260274,11.7113150684932,13.466602739726,"Current withdrawal"
2035,12.5607054794521,11.2642739726027,14.0648767123288,"Current withdrawal"
2036,12.1223030478998,10.7184196185286,12.8399182561308,"Current withdrawal"
2037,12.6018082191781,12.1207671232877,13.1384109589041,"Current withdrawal"
2038,12.9260547945205,11.7147123287671,13.6656438356164,"Current withdrawal"
2039,12.6733082191781,11.4917260273973,13.5775342465753,"Current withdrawal"
2040,13.1108606557377,11.7523224043716,13.8891803278689,"Current withdrawal"
2041,13.2670821917808,11.7582465753425,14.2947397260274,"Current withdrawal"
2042,12.7102779586795,12.1385753424658,13.5127868852459,"Current withdrawal"
2043,13.1324863013699,11.3008219178082,14.1420547945205,"Current withdrawal"
2044,12.7630723598242,11.7740710382514,13.3517486338798,"Current withdrawal"
2045,12.7013563140954,11.4818356164384,13.789781420765,"Current withdrawal"
2046,12.9463287671233,12.3281369863014,13.3126301369863,"Current withdrawal"
2047,13.3187465753425,11.7718630136986,13.9890684931507,"Current withdrawal"
2048,12.5421857923497,11.1105464480874,13.3727322404372,"Current withdrawal"
2049,12.9601218132955,11.8352328767123,13.6456712328767,"Current withdrawal"
2050,12.9457934164234,11.8874520547945,13.3584383561644,"Current withdrawal"
2051,13.0900395800584,12.6438904109589,13.5922131147541,"Current withdrawal"
2052,13.4047950819672,11.3033879781421,14.5991530054645,"Current withdrawal"
2053,13.2967876712329,11.9910684931507,14.4702739726027,"Current withdrawal"
2054,12.9966478404072,11.2511780821918,13.9741530054645,"Current withdrawal"
2055,13.3229589041096,11.9787671232877,13.9046849315068,"Current withdrawal"
2056,12.8049112021858,11.1277049180328,14.1494535519126,"Current withdrawal"
2057,13.0983260723108,11.8483879781421,13.6624109589041,"Current withdrawal"
2058,13.8613904109589,12.5258904109589,14.9325479452055,"Current withdrawal"
2059,13.6757018489408,11.9789315068493,14.6764931506849,"Current withdrawal"
2060,13.5211543715847,11.2098087431694,14.8592076502732,"Current withdrawal"
2061,13.6823676547646,12.3833698630137,14.2120547945205,"Current withdrawal"
2062,13.8174816002356,11.105,15.0839509536785,"Current withdrawal"
2063,13.791301369863,12.1334520547945,14.9620821917808,"Current withdrawal"
2064,13.8834357923497,13.1000273224044,14.369781420765,"Current withdrawal"
2065,13.7541444531776,12.0896438356164,14.5590983606557,"Current withdrawal"
2066,13.6277912643162,11.746602739726,14.3580821917808,"Current withdrawal"
2067,13.8987397260274,12.2876438356164,14.677095890411,"Current withdrawal"
2068,14.4620765027322,12.8848360655738,15.5903551912568,"Current withdrawal"
2069,13.7163356164384,12.4938356164384,14.7694794520548,"Current withdrawal"
2070,14.1067614529531,12.8082786885246,14.7834794520548,"Current withdrawal"
2071,14.3665761658807,12.0848493150685,16.1743835616438,"Current withdrawal"
2072,14.1939890710383,12.9291256830601,14.6822131147541,"Current withdrawal"
2073,14.0891712328767,13.078602739726,14.9312876712329,"Current withdrawal"
2074,14.3691637472865,11.9978961748634,15.4338904109589,"Current withdrawal"
2075,14.040095890411,11.8904109589041,14.8732328767123,"Current withdrawal"
2076,14.281990068641,12.6954098360656,15.0465395095368,"Current withdrawal"
2077,14.6374997192904,12.4198356164384,15.409095890411,"Current withdrawal"
2078,15.5040051609779,13.5801643835616,17.0689100817439,"Current withdrawal"
2079,14.9917762182798,13.01,15.802301369863,"Current withdrawal"
2080,14.9810536248716,12.7674931880109,15.9825409836066,"Current withdrawal"
2081,14.9266361893002,13.6270491803279,15.7770572207084,"Current withdrawal"
2082,14.9897123287671,12.9024383561644,15.9019452054795,"Current withdrawal"
2083,15.160801369863,12.6528219178082,16.2990136986301,"Current withdrawal"
2084,15.2339289170799,14.3017759562842,16.1358743169399,"Current withdrawal"
2085,14.6195451006812,12.8201369863014,15.7940273972603,"Current withdrawal"
2086,14.9213675799087,13.0165479452055,16.1255342465753,"Current withdrawal"
2087,15.2516357020548,12.790625,16.8606849315068,"Current withdrawal"
2088,15.1721721311475,13.2648633879781,16.7064754098361,"Current withdrawal"
2089,15.3522975269201,14.0471857923497,16.0619398907104,"Current withdrawal"
2090,15.0727693128228,14.1101095890411,16.0544931506849,"Current withdrawal"
2091,15.4785623923946,13.0064931506849,17.0421369863014,"Current withdrawal"
2092,15.2438653385149,13.3457650273224,16.3559128065395,"Current withdrawal"
2093,14.9665960775507,13.097698630137,16.4597267759563,"Current withdrawal"
2094,14.8093897746837,12.0646849315069,16.4035068493151,"Current withdrawal"
2095,15.3932756007186,12.8478356164384,16.5455616438356,"Current withdrawal"
2096,15.621689373297,13.4268579234973,17.2751226158038,"Current withdrawal"
2097,15.4418767123288,12.9999178082192,16.6092328767123,"Current withdrawal"
2098,15.4095890410959,12.3839726027397,16.7804383561644,"Current withdrawal"
2099,15.7213150684932,12.4695342465753,16.9524931506849,"Current withdrawal"
2006,10.9248561643836,10.2040273972603,11.4867397260274,"Surface withdrawal"
2007,10.5151301369863,9.87832876712329,11.1353424657534,"Surface withdrawal"
2008,10.7087906366547,10.3028142076503,11.2236338797814,"Surface withdrawal"
2009,11.1979452054795,10.0377260273973,12.700904109589,"Surface withdrawal"
2010,11.6063424657534,11.4580547945205,11.8228219178082,"Surface withdrawal"
2011,11.3257776779699,10.681698630137,12.1302465753425,"Surface withdrawal"
2012,11.2107201351975,10.6934426229508,11.6824316939891,"Surface withdrawal"
2013,10.7049726027397,9.69060273972603,11.1436438356164,"Surface withdrawal"
2014,11.5654657534247,10.9252876712329,12.5057534246575,"Surface withdrawal"
2015,11.419102739726,11.2624931506849,11.562301369863,"Surface withdrawal"
2016,11.5236914466729,10.9244262295082,12.5220765027322,"Surface withdrawal"
2017,11.1478112134142,10.5167213114754,11.4289071038251,"Surface withdrawal"
2018,11.6021369863014,10.462904109589,12.3711506849315,"Surface withdrawal"
2019,11.3141164383562,10.4331232876712,12.1383561643836,"Surface withdrawal"
2020,11.5256844187847,10.4687431693989,12.6480108991826,"Surface withdrawal"
2021,12.4080547945205,11.430904109589,13.3518356164384,"Surface withdrawal"
2022,11.8236438356164,11.4232876712329,12.1212328767123,"Surface withdrawal"
2023,11.9657397260274,11.3367671232877,12.463095890411,"Surface withdrawal"
2024,11.9288784971933,10.7100817438692,13.2674043715847,"Surface withdrawal"
2025,12.031302923123,11.3061643835616,12.6320821917808,"Surface withdrawal"
2026,12.0001982558575,10.8624109589041,12.8705464480874,"Surface withdrawal"
2027,11.5235547945205,11.0345753424658,12.0227945205479,"Surface withdrawal"
2028,12.2277459946993,10.679863760218,12.8375683060109,"Surface withdrawal"
2029,12.1285205479452,11.6555342465753,12.4954246575342,"Surface withdrawal"
2030,12.1660273972603,11.5452602739726,12.8706301369863,"Surface withdrawal"
2031,12.0901977903027,11.081698630137,12.798904109589,"Surface withdrawal"
2032,12.1851487656527,10.8734972677596,12.9244808743169,"Surface withdrawal"
2033,11.8428904109589,11.2703835616438,12.263698630137,"Surface withdrawal"
2034,12.1564589041096,11.4136712328767,13.2517534246575,"Surface withdrawal"
2035,12.2684178082192,10.9753150684932,13.7295342465753,"Surface withdrawal"
2036,11.8157933361624,10.5208196721311,12.521393442623,"Surface withdrawal"
2037,12.3992778463957,11.9943442622951,12.821095890411,"Surface withdrawal"
2038,12.5979534022008,11.4505464480874,13.2443287671233,"Surface withdrawal"
2039,12.4103767123288,11.3175342465753,13.1921643835616,"Surface withdrawal"
2040,12.8485519125683,11.6296174863388,13.581693989071,"Surface withdrawal"
2041,12.9271534171719,11.5819452054795,13.8700546448087,"Surface withdrawal"
2042,12.4156095890411,11.976602739726,13.0603835616438,"Surface withdrawal"
2043,12.8210504903062,11.1121917808219,13.8327123287671,"Surface withdrawal"
2044,12.459337431694,11.6054098360656,12.9704371584699,"Surface withdrawal"
2045,12.3916356014672,11.309698630137,13.3885753424658,"Surface withdrawal"
2046,12.6388356164384,12.1257534246575,12.9542191780822,"Surface withdrawal"
2047,13.0144477318662,11.5863114754098,13.6947123287671,"Surface withdrawal"
2048,12.2589020785873,10.9103825136612,13.1270218579235,"Surface withdrawal"
2049,12.6769467467564,11.6663561643836,13.2817983651226,"Surface withdrawal"
2050,12.6514105097687,11.7327945205479,13.0121917808219,"Surface withdrawal"
2051,12.826866588068,12.432602739726,13.3272950819672,"Surface withdrawal"
2052,13.0917759562842,11.1768579234973,14.1874590163934,"Surface withdrawal"
2053,12.9719315068493,11.7531780821918,14.0981369863014,"Surface withdrawal"
2054,12.6894235908376,10.9960273972603,13.6979452054795,"Surface withdrawal"
2055,12.9842326895726,11.8089863013699,13.6157534246575,"Surface withdrawal"
2056,12.5451064047587,11.1142234332425,13.8587431693989,"Surface withdrawal"
2057,12.7751643835616,11.6426849315068,13.2583835616438,"Surface withdrawal"
2058,13.5233958380118,12.286,14.5355068493151,"Surface withdrawal"
2059,13.3761404389534,11.8277260273973,14.3124795640327,"Surface withdrawal"
2060,13.1937704918033,11.0784699453552,14.4199180327869,"Surface withdrawal"
2061,13.3445665335374,12.1964305177112,13.7640547945205,"Surface withdrawal"
2062,13.4607123287671,10.9118630136986,14.6930410958904,"Surface withdrawal"
2063,13.4597808219178,12.0435342465753,14.5497534246575,"Surface withdrawal"
2064,13.5293920765027,12.8121857923497,14.040218579235,"Surface withdrawal"
2065,13.3698630136986,11.7724109589041,14.213095890411,"Surface withdrawal"
2066,13.2839863013699,11.4495890410959,14.0905205479452,"Surface withdrawal"
2067,13.5302739726027,12.0125205479452,14.1938630136986,"Surface withdrawal"
2068,14.0972637952085,12.6768032786885,15.1929508196721,"Surface withdrawal"
2069,13.3246537727375,12.2404383561644,14.3356712328767,"Surface withdrawal"
2070,13.7513493150685,12.5522739726027,14.3877260273973,"Surface withdrawal"
2071,14.029801369863,11.8118630136986,15.8006301369863,"Surface withdrawal"
2072,13.8293306010929,12.736393442623,14.2464207650273,"Surface withdrawal"
2073,13.7007465753425,12.8722191780822,14.5215890410959,"Surface withdrawal"
2074,14.0222534246575,11.7439726027397,15.0532054794521,"Surface withdrawal"
2075,13.6532658881653,11.6218032786885,14.5441643835616,"Surface withdrawal"
2076,13.8943784153005,12.406174863388,14.652650273224,"Surface withdrawal"
2077,14.3015293996557,12.2146301369863,15.045095890411,"Surface withdrawal"
2078,15.1615616438356,13.3744931506849,16.7526301369863,"Surface withdrawal"
2079,14.630029175088,12.7474043715847,15.4274246575342,"Surface withdrawal"
2080,14.6096774355653,12.5773224043716,15.4741530054645,"Surface withdrawal"
2081,14.523,13.3873698630137,15.3041369863014,"Surface withdrawal"
2082,14.5951849315068,12.6026575342466,15.5473424657534,"Surface withdrawal"
2083,14.7800068493151,12.4024109589041,15.8218904109589,"Surface withdrawal"
2084,14.8449316939891,14.092131147541,15.6480601092896,"Surface withdrawal"
2085,14.2548494086384,12.6318904109589,15.3340547945205,"Surface withdrawal"
2086,14.5057590949921,12.8000547945205,15.6098356164384,"Surface withdrawal"
2087,14.8190433041395,12.5567759562842,16.3253150684932,"Surface withdrawal"
2088,14.7662158469945,13.1057650273224,16.2263934426229,"Surface withdrawal"
2089,14.9224315068493,13.8046849315068,15.5075342465753,"Surface withdrawal"
2090,14.6805510704394,13.9181917808219,15.6493442622951,"Surface withdrawal"
2091,15.065716988547,12.822904109589,16.4101092896175,"Surface withdrawal"
2092,14.8425273224044,13.0999180327869,15.8392349726776,"Surface withdrawal"
2093,14.5262328767123,12.7555342465753,16.0089863013699,"Surface withdrawal"
2094,14.4252790066622,11.842650273224,15.8888767123288,"Surface withdrawal"
2095,14.9876369863014,12.5887397260274,16.0916438356164,"Surface withdrawal"
2096,15.2484836065574,13.2224863387978,16.8922404371585,"Surface withdrawal"
2097,15.0494726027397,12.7889589041096,16.126904109589,"Surface withdrawal"
2098,15.0250893592335,12.1795355191257,16.3264931506849,"Surface withdrawal"
2099,15.3397681497518,12.2642506811989,16.5319452054795,"Surface withdrawal"
