"Year","Mean","Min","Max","Type"
2006,9.50857602739726,9.30618356164384,9.86250136986301,"RCP60"
2007,9.75207808219177,9.33479452054794,10.1357589041096,"RCP60"
2008,9.91716256830601,9.83577595628415,9.98661475409836,"RCP60"
2009,9.94524726027399,9.67481917808219,10.2440383561644,"RCP60"
2010,9.96361643835617,9.65298630136986,10.1615178082192,"RCP60"
2011,10.0094363013699,9.54351780821918,10.441498630137,"RCP60"
2012,10.1105553278688,9.85413114754098,10.3250573770492,"RCP60"
2013,9.84840684931508,9.64029863013699,10.0659671232877,"RCP60"
2014,10.0425390410959,9.9254301369863,10.2599890410959,"RCP60"
2015,9.96950342465755,9.69164109589041,10.1776164383562,"RCP60"
2016,9.9218599726776,9.7715,10.1651448087432,"RCP60"
2017,9.96978424657535,9.54171232876712,10.337997260274,"RCP60"
2018,9.72051301369864,9.17104657534247,10.0219780821918,"RCP60"
2019,9.64506095890409,9.23130136986301,10.3949150684931,"RCP60"
2020,9.895125,9.45562568306011,10.1474808743169,"RCP60"
2021,10.0715157534246,9.71879452054795,10.4279534246575,"RCP60"
2022,9.82635,9.67856164383562,9.99741917808219,"RCP60"
2023,9.63472671232877,9.43178356164383,9.93322739726027,"RCP60"
2024,9.85077800546448,9.36935792349727,10.2365819672131,"RCP60"
2025,10.0720075342466,9.75319726027397,10.4315315068493,"RCP60"
2026,9.93923972602741,9.61075342465753,10.4040164383562,"RCP60"
2027,9.86986780821917,9.50579178082192,10.0665808219178,"RCP60"
2028,9.98915368852458,9.82318579234973,10.1421038251366,"RCP60"
2029,9.76926438356163,9.33075068493151,10.1842246575342,"RCP60"
2030,9.9685,9.67088493150685,10.3619095890411,"RCP60"
2031,9.75657671232877,9.38621095890411,10.3628602739726,"RCP60"
2032,10.0256550546448,9.93829234972678,10.1363524590164,"RCP60"
2033,9.72670616438356,8.95219452054794,10.4512191780822,"RCP60"
2034,9.87020205479453,9.60255068493151,10.0819068493151,"RCP60"
