"Year","Mean","Min","Max","Type"
2006,3.254,3.08,3.378,"RCP26"
2007,3.9,3.401,4.475,"RCP26"
2008,4.10875,3.395,4.934,"RCP26"
2009,3.6805,2.757,4.633,"RCP26"
2010,3.871,3.237,4.804,"RCP26"
2011,4.23075,3.401,5.037,"RCP26"
2012,3.69025,2.942,4.795,"RCP26"
2013,3.9705,2.974,5.013,"RCP26"
2014,3.71175,2.701,4.797,"RCP26"
2015,3.542,3.458,3.699,"RCP26"
2016,4.54675,3.179,5.679,"RCP26"
2017,4.19625,2.167,5.15,"RCP26"
2018,3.753,2.352,4.931,"RCP26"
2019,4.22775,2.917,5.523,"RCP26"
2020,3.928,3.512,4.945,"RCP26"
2021,4.567,3.961,4.972,"RCP26"
2022,4.06025,2.77,5.72,"RCP26"
2023,3.36725,2.51,4.088,"RCP26"
2024,3.96925,2.558,5.137,"RCP26"
2025,4.468,3.795,5.149,"RCP26"
2026,3.42525,2.029,4.479,"RCP26"
2027,3.9795,2.841,4.83,"RCP26"
2028,3.788,2.786,4.403,"RCP26"
2029,4.18025,3.385,5.035,"RCP26"
2030,4.36425,2.048,6.11,"RCP26"
2031,3.8355,3.386,4.722,"RCP26"
2032,4.0855,3.302,4.528,"RCP26"
2033,4.03375,3.457,4.991,"RCP26"
2034,4.283,3.604,4.721,"RCP26"
2035,4.234,3.466,4.999,"RCP26"
2036,3.66175,2.687,5.361,"RCP26"
2037,4.3655,3.1,5.075,"RCP26"
2038,4.3705,2.458,5.135,"RCP26"
2039,4.45625,3.344,5.535,"RCP26"
2040,4.01375,3.196,5.159,"RCP26"
2041,3.67375,2.139,5.567,"RCP26"
2042,4.26675,3.577,5.354,"RCP26"
2043,3.76425,2.542,4.912,"RCP26"
2044,4.2535,3.26,5.822,"RCP26"
2045,4.50575,4.143,4.841,"RCP26"
2046,4.54725,3.59,5.729,"RCP26"
2047,3.667,2.266,5.068,"RCP26"
2048,4.1445,3.039,6.174,"RCP26"
2049,2.9045,2.26,3.899,"RCP26"
2050,4.37375,3.352,4.979,"RCP26"
2051,4.1045,3.557,4.827,"RCP26"
2052,3.45925,2.435,4.23,"RCP26"
2053,4.03675,2.785,4.734,"RCP26"
2054,4.1025,2.817,5.051,"RCP26"
2055,3.756,2.103,4.691,"RCP26"
2056,3.6385,2.513,4.238,"RCP26"
2057,3.581,1.524,5.388,"RCP26"
2058,3.312,2.244,4.887,"RCP26"
2059,3.6975,2.577,4.682,"RCP26"
2060,4.01925,2.878,5.186,"RCP26"
2061,3.68775,2.223,5.184,"RCP26"
2062,3.2225,2.337,4.123,"RCP26"
2063,3.17675,1.842,4.776,"RCP26"
2064,3.31,2.455,4.103,"RCP26"
2065,2.98875,0.91,5.099,"RCP26"
2066,4.6665,3.584,5.944,"RCP26"
2067,3.42475,1.248,6.534,"RCP26"
2068,4.037,3.141,5.837,"RCP26"
2069,4.59425,3.429,5.868,"RCP26"
2070,3.914,3.125,5.556,"RCP26"
2071,3.13875,1.704,4.783,"RCP26"
2072,2.857,0.799,5.005,"RCP26"
2073,3.28725,0.982,4.368,"RCP26"
2074,3.99475,2.973,6.315,"RCP26"
2075,3.75025,2.526,4.457,"RCP26"
2076,3.9595,2.782,4.71,"RCP26"
2077,4.0015,3.533,4.506,"RCP26"
2078,4.1005,2.639,5.161,"RCP26"
2079,4.81575,3.98,6.05,"RCP26"
2080,4.14725,1.808,5.29,"RCP26"
2081,3.1115,2.273,3.799,"RCP26"
2082,3.46375,1.16,4.339,"RCP26"
2083,4.24475,3.337,5.259,"RCP26"
2084,3.312,2.703,4.148,"RCP26"
2085,3.546,2.211,5.631,"RCP26"
2086,3.822,2.122,4.904,"RCP26"
2087,3.58175,2.108,5.064,"RCP26"
2088,4.374,3.203,5.96,"RCP26"
2089,4.24075,2.729,5.667,"RCP26"
2090,3.5685,2.489,4.368,"RCP26"
2091,3.604,1.729,6.145,"RCP26"
2092,3.522,2.399,4.812,"RCP26"
2093,3.8175,3.662,3.94,"RCP26"
2094,3.64625,3.143,4.556,"RCP26"
2095,3.05875,2.163,4.866,"RCP26"
2096,4.02525,3.512,4.744,"RCP26"
2097,2.898,1.52,4.278,"RCP26"
2098,3.40175,2.09,5.061,"RCP26"
2099,2.8965,1.58,4.57,"RCP26"
