"Period","Rcp","Temp"
"Period 07-21","RCP2.6",9.80878767123288
"Period 07-21","RCP2.6",9.48238387978142
"Period 07-21","RCP2.6",10.0795068493151
"Period 07-21","RCP2.6",10.1754931506849
"Period 07-21","RCP2.6",9.81899315068493
"Period 07-21","RCP2.6",9.8226912568306
"Period 07-21","RCP2.6",9.76498630136986
"Period 07-21","RCP2.6",10.0237397260274
"Period 07-21","RCP2.6",10.4688150684932
"Period 07-21","RCP2.6",10.0172267759563
"Period 07-21","RCP2.6",10.0626301369863
"Period 07-21","RCP2.6",10.290397260274
"Period 07-21","RCP2.6",10.0280068493151
"Period 07-21","RCP2.6",10.088087431694
"Period 07-21","RCP2.6",9.90503424657534
"Period 07-21","RCP6.0",9.97712328767123
"Period 07-21","RCP6.0",9.64524590163934
"Period 07-21","RCP6.0",9.63859589041096
"Period 07-21","RCP6.0",9.915
"Period 07-21","RCP6.0",9.96834246575342
"Period 07-21","RCP6.0",9.83671448087432
"Period 07-21","RCP6.0",9.98259589041096
"Period 07-21","RCP6.0",9.99489726027397
"Period 07-21","RCP6.0",10.139102739726
"Period 07-21","RCP6.0",9.92006147540984
"Period 07-21","RCP6.0",10.2214794520548
"Period 07-21","RCP6.0",10.2290068493151
"Period 07-21","RCP6.0",9.86354109589041
"Period 07-21","RCP6.0",9.91969262295082
"Period 07-21","RCP6.0",10.4015479452055
"Period 07-21","RCP8.5",9.29651369863014
"Period 07-21","RCP8.5",9.64633196721311
"Period 07-21","RCP8.5",9.69422602739726
"Period 07-21","RCP8.5",10.2398767123288
"Period 07-21","RCP8.5",9.83132876712329
"Period 07-21","RCP8.5",10.1738114754098
"Period 07-21","RCP8.5",9.42677397260274
"Period 07-21","RCP8.5",10.2856712328767
"Period 07-21","RCP8.5",10.021602739726
"Period 07-21","RCP8.5",10.4480601092896
"Period 07-21","RCP8.5",10.1805821917808
"Period 07-21","RCP8.5",10.415102739726
"Period 07-21","RCP8.5",10.2604931506849
"Period 07-21","RCP8.5",9.90184426229508
"Period 07-21","RCP8.5",11.0087808219178
"Period 45-59","RCP2.6",9.91609589041096
"Period 45-59","RCP2.6",9.87494520547945
"Period 45-59","RCP2.6",10.4707328767123
"Period 45-59","RCP2.6",10.0952254098361
"Period 45-59","RCP2.6",10.9143082191781
"Period 45-59","RCP2.6",9.80684246575342
"Period 45-59","RCP2.6",9.90352054794521
"Period 45-59","RCP2.6",10.3210450819672
"Period 45-59","RCP2.6",10.0625273972603
"Period 45-59","RCP2.6",10.2168561643836
"Period 45-59","RCP2.6",10.1802534246575
"Period 45-59","RCP2.6",10.2781284153005
"Period 45-59","RCP2.6",9.89763698630137
"Period 45-59","RCP2.6",10.1976301369863
"Period 45-59","RCP2.6",10.1160410958904
"Period 45-59","RCP6.0",10.3460821917808
"Period 45-59","RCP6.0",10.3279246575342
"Period 45-59","RCP6.0",10.1915547945205
"Period 45-59","RCP6.0",10.5860792349727
"Period 45-59","RCP6.0",10.3083698630137
"Period 45-59","RCP6.0",10.169595890411
"Period 45-59","RCP6.0",10.0877602739726
"Period 45-59","RCP6.0",10.3805327868852
"Period 45-59","RCP6.0",10.2561369863014
"Period 45-59","RCP6.0",10.4453630136986
"Period 45-59","RCP6.0",10.7134452054795
"Period 45-59","RCP6.0",10.440587431694
"Period 45-59","RCP6.0",10.377801369863
"Period 45-59","RCP6.0",10.1201164383562
