"Year","Mean","Min","Max","Type"
2006,9.37453287671233,9.08773698630137,9.68630684931507,"RCP26"
2007,9.73100205479451,9.34996164383562,10.087901369863,"RCP26"
2008,10.1303148907104,9.76706557377049,10.4174453551913,"RCP26"
2009,9.87538356164384,9.68001095890411,10.1554301369863,"RCP26"
2010,9.77732534246575,9.50092876712329,10.0487232876712,"RCP26"
2011,10.0762698630137,9.86240821917808,10.4002684931507,"RCP26"
2012,9.80184836065575,9.32785792349727,10.1109535519126,"RCP26"
2013,9.94979863013697,9.73508493150685,10.1822301369863,"RCP26"
2014,9.90940136986301,9.74670410958904,10.1694410958904,"RCP26"
2015,10.0313212328767,9.83504109589041,10.4208794520548,"RCP26"
2016,10.0237096994536,9.86018852459016,10.2144098360656,"RCP26"
2017,10.0904746575342,9.72692054794521,10.4872438356164,"RCP26"
2018,9.89065821917808,9.57024657534247,10.1035506849315,"RCP26"
2019,9.9026609589041,9.77344657534247,10.1300136986301,"RCP26"
2020,10.115456284153,9.87051092896175,10.3138278688525,"RCP26"
2021,9.94546301369865,9.3308,10.3211561643836,"RCP26"
2022,10.1279267123288,9.93608767123288,10.5773068493151,"RCP26"
2023,9.82466917808219,9.66696438356164,10.0973616438356,"RCP26"
2024,9.81672062841529,9.24103005464481,10.2237431693989,"RCP26"
2025,9.8154404109589,9.47440547945205,10.0461506849315,"RCP26"
2026,9.74377534246577,9.4761095890411,10.0735753424658,"RCP26"
2027,9.78849315068493,9.44934246575342,10.1836191780822,"RCP26"
2028,9.78242759562841,9.29081420765027,10.1435027322404,"RCP26"
2029,9.69156164383561,9.51324931506849,9.8483698630137,"RCP26"
2030,10.1328178082192,10.0836,10.2180767123288,"RCP26"
2031,10.0203589041096,9.83037260273973,10.2465698630137,"RCP26"
2032,9.68419262295082,9.44548633879781,10.111718579235,"RCP26"
2033,9.84096369863014,9.76269589041096,9.95142465753425,"RCP26"
2034,9.83515342465754,9.56115342465753,10.0170767123288,"RCP26"
