"Year","Mean","Min","Max","Type"
2006,9.67706849315068,9.09594520547945,10.2458904109589,"Current withdrawal"
2007,9.29651369863014,8.15134246575342,10.171095890411,"Current withdrawal"
2008,9.64633196721311,9.24409836065574,10.0102459016393,"Current withdrawal"
2009,9.69422602739726,8.71402739726027,10.8262739726027,"Current withdrawal"
2010,10.2398767123288,10.0067397260274,10.4887671232877,"Current withdrawal"
2011,9.83132876712329,9.34098630136986,10.3827945205479,"Current withdrawal"
2012,10.1738114754098,9.54478142076503,10.7417759562842,"Current withdrawal"
2013,9.42677397260274,8.73345205479452,10.0621369863014,"Current withdrawal"
2014,10.2856712328767,9.86334246575342,11.1306849315068,"Current withdrawal"
2015,10.021602739726,9.8753698630137,10.2790410958904,"Current withdrawal"
2016,10.4480601092896,10.0831967213115,11.0007923497268,"Current withdrawal"
2017,10.1805821917808,9.44778082191781,10.8491780821918,"Current withdrawal"
2018,10.415102739726,9.13791780821918,11.0974794520548,"Current withdrawal"
2019,10.2604931506849,9.48945205479452,11.1898356164384,"Current withdrawal"
2020,9.90184426229508,9.07666666666667,10.9065300546448,"Current withdrawal"
2021,11.0087808219178,10.3064931506849,11.9117808219178,"Current withdrawal"
2022,10.1357260273973,9.63813698630137,10.6825479452055,"Current withdrawal"
2023,10.3567465753425,9.96717808219178,10.6857260273973,"Current withdrawal"
2024,10.030075136612,9.41073770491803,10.8572131147541,"Current withdrawal"
2025,10.3532191780822,9.92468493150685,11.1048493150685,"Current withdrawal"
2026,9.94484246575342,9.40468493150685,10.2574794520548,"Current withdrawal"
2027,9.98965068493151,9.73767123287671,10.1552876712329,"Current withdrawal"
2028,10.5065915300546,9.03603825136612,11.4787978142077,"Current withdrawal"
2029,10.242904109589,9.69580821917808,11.0564931506849,"Current withdrawal"
2030,10.4722739726027,10.2312328767123,10.7866849315068,"Current withdrawal"
2031,10.270595890411,9.54309589041096,11.1158630136986,"Current withdrawal"
2032,10.499856557377,9.87677595628415,10.8113114754098,"Current withdrawal"
2033,9.80639726027397,9.50046575342466,10.373095890411,"Current withdrawal"
2034,10.2234109589041,9.5492602739726,10.8300273972603,"Current withdrawal"
2035,10.4427876712329,9.79101369863014,11.5941917808219,"Current withdrawal"
2036,10.0130327868852,9.27418032786885,11.057868852459,"Current withdrawal"
2037,10.6008356164384,9.99558904109589,11.2015616438356,"Current withdrawal"
2038,11.1118219178082,10.6132876712329,11.7301917808219,"Current withdrawal"
2039,10.5763630136986,9.71013698630137,11.4787123287671,"Current withdrawal"
2040,10.7185792349727,10.2298087431694,11.3062295081967,"Current withdrawal"
2041,11.1080684931507,10.5778630136986,11.5584931506849,"Current withdrawal"
2042,10.5305,10.1793150684932,11.4987123287671,"Current withdrawal"
2043,10.9954863013699,10.0481643835616,11.7335616438356,"Current withdrawal"
2044,10.3734016393443,9.69322404371585,10.8880601092896,"Current withdrawal"
2045,10.5138835616438,9.28449315068493,11.6869863013699,"Current withdrawal"
2046,10.6445684931507,9.85594520547945,11.0804109589041,"Current withdrawal"
2047,11.0109315068493,9.68493150684932,11.6683561643836,"Current withdrawal"
2048,10.0617691256831,9.22989071038251,10.8439890710383,"Current withdrawal"
2049,10.6661643835616,9.80920547945206,11.0663561643836,"Current withdrawal"
2050,10.8236095890411,10.3025479452055,11.4638904109589,"Current withdrawal"
2051,10.9333767123288,10.3485479452055,11.422602739726,"Current withdrawal"
2052,11.0993647540984,9.30213114754098,12.5004098360656,"Current withdrawal"
2053,10.9520616438356,10.2345753424658,11.8429315068493,"Current withdrawal"
2054,10.6397397260274,9.49550684931507,11.4688219178082,"Current withdrawal"
2055,11.0351232876712,10.3463561643836,11.635095890411,"Current withdrawal"
2056,10.6581352459016,9.76551912568306,11.6419672131148,"Current withdrawal"
2057,11.179904109589,10.5277260273973,11.9553698630137,"Current withdrawal"
2058,11.6957054794521,10.9647123287671,12.4478356164384,"Current withdrawal"
2059,11.596198630137,10.6555616438356,12.3134246575342,"Current withdrawal"
2060,11.1656967213115,9.55614754098361,12.5746994535519,"Current withdrawal"
2061,11.6742328767123,10.926,12.095698630137,"Current withdrawal"
2062,11.3101917808219,9.35095890410959,12.4475342465753,"Current withdrawal"
2063,11.4662191780822,10.9897260273973,12.2095616438356,"Current withdrawal"
2064,11.4943237704918,10.9825136612022,12.1131420765027,"Current withdrawal"
2065,11.1300890410959,9.61375342465753,12.0158356164384,"Current withdrawal"
2066,10.9158082191781,8.82408219178082,12.1268219178082,"Current withdrawal"
2067,11.1715821917808,9.61994520547945,11.8326575342466,"Current withdrawal"
2068,11.8174795081967,10.0973770491803,12.762349726776,"Current withdrawal"
2069,10.9571095890411,9.82887671232877,11.7841369863014,"Current withdrawal"
2070,11.3389657534247,9.83035616438356,12.1062739726027,"Current withdrawal"
2071,11.6356780821918,9.3046301369863,13.7191780821918,"Current withdrawal"
2072,11.5273360655738,10.3971038251366,12.103825136612,"Current withdrawal"
2073,11.3654520547945,10.4209315068493,11.7099178082192,"Current withdrawal"
2074,11.608102739726,8.66994520547945,12.7889589041096,"Current withdrawal"
2075,11.3386849315068,9.28986301369863,12.2793424657534,"Current withdrawal"
2076,11.7009289617486,10.0443442622951,13.008606557377,"Current withdrawal"
2077,11.6150068493151,9.41775342465754,12.6868493150685,"Current withdrawal"
2078,12.3520273972603,10.3371506849315,13.932904109589,"Current withdrawal"
2079,12.0494589041096,10.5261095890411,12.8392876712329,"Current withdrawal"
2080,12.0596038251366,10.1191256830601,13.0671584699454,"Current withdrawal"
