"Year","Mean","Min","Max","Type"
2006,4.79752739726027,4.2427397260274,5.05901369863014,"Current withdrawal"
2007,4.62307534246575,4.31158904109589,5.02569863013699,"Current withdrawal"
2008,4.6983674863388,4.49497267759563,4.88803278688525,"Current withdrawal"
2009,5.09578767123288,4.81994520547945,5.34523287671233,"Current withdrawal"
2010,4.92579452054794,4.86060273972603,5.01553424657534,"Current withdrawal"
2011,4.71175342465753,4.33353424657534,5.01983561643836,"Current withdrawal"
2012,4.66658469945355,4.48609289617486,5.05642076502732,"Current withdrawal"
2013,4.67308904109589,4.41353424657534,4.98446575342466,"Current withdrawal"
2014,5.06915753424658,4.8358904109589,5.49693150684932,"Current withdrawal"
2015,4.90810273972603,4.35679452054795,5.34468493150685,"Current withdrawal"
2016,4.8844262295082,4.57666666666667,4.98989071038251,"Current withdrawal"
2017,4.77415068493151,4.3572602739726,5.20509589041096,"Current withdrawal"
2018,5.03578082191781,4.63424657534247,5.71728767123288,"Current withdrawal"
2019,4.8863904109589,4.45956164383562,5.0626301369863,"Current withdrawal"
2020,4.83425546448087,4.69609289617486,5.05021857923497,"Current withdrawal"
2021,4.90735616438356,4.53734246575342,5.05734246575342,"Current withdrawal"
2022,4.70656849315068,4.62005479452055,4.85093150684931,"Current withdrawal"
2023,4.74295890410959,4.43408219178082,5.0586301369863,"Current withdrawal"
2024,4.90681010928962,4.28535519125683,5.37292349726776,"Current withdrawal"
2025,4.97343150684932,4.63583561643836,5.54487671232877,"Current withdrawal"
2026,4.72708904109589,4.57561643835616,4.83068493150685,"Current withdrawal"
2027,4.71952739726027,4.55893150684931,4.93567123287671,"Current withdrawal"
2028,4.84790983606557,4.56286885245902,5.31030054644809,"Current withdrawal"
2029,4.78087671232877,4.42750684931507,4.97345205479452,"Current withdrawal"
2030,4.84354109589041,4.45501369863014,5.1321095890411,"Current withdrawal"
2031,4.89427397260274,4.56197260273973,5.38167123287671,"Current withdrawal"
2032,4.71544398907104,4.5020218579235,4.97407103825137,"Current withdrawal"
2033,4.81010273972603,4.30408219178082,5.20731506849315,"Current withdrawal"
2034,4.90777397260274,4.47435616438356,5.41797260273973,"Current withdrawal"
2035,5.04705479452055,4.73597260273973,5.64797260273973,"Current withdrawal"
2036,4.8589412568306,4.245,5.50081967213115,"Current withdrawal"
